Date	Country	City	Specification	Count	Min	Max	Median	Varience
03-01-2020	IN	Kolkata	dew	52	15	16	15	1.46
04-01-2020	IN	Kolkata	dew	153	14	17	15	13.7
05-01-2020	IN	Kolkata	dew	153	13	17	15	22.2
06-01-2020	IN	Kolkata	dew	181	10	14	12	11.53
07-01-2020	IN	Kolkata	dew	195	10	14	12	17.98
08-01-2020	IN	Kolkata	dew	202	9	16	14	61
09-01-2020	IN	Kolkata	dew	174	14	17	16	11.96
10-01-2020	IN	Kolkata	dew	209	10.5	15.5	13	14.04
11-01-2020	IN	Kolkata	dew	195	10	13	11.5	8.65
12-01-2020	IN	Kolkata	dew	188	10	12	11	3.48
13-01-2020	IN	Kolkata	dew	193	8	12	10.5	11.12
14-01-2020	IN	Kolkata	dew	209	9	13	11.5	11.57
15-01-2020	IN	Kolkata	dew	181	11.5	15	13.5	13.7
16-01-2020	IN	Kolkata	dew	202	11.5	18	16.5	52.51
17-01-2020	IN	Kolkata	dew	216	14	19.5	15	26.37
18-01-2020	IN	Kolkata	dew	216	13	17.5	14.5	15.66
19-01-2020	IN	Kolkata	dew	202	13	18	17	28.54
20-01-2020	IN	Kolkata	dew	167	12	16	14	13.64
21-01-2020	IN	Kolkata	dew	195	10	14	12.5	12.28
22-01-2020	IN	Kolkata	dew	174	11	16	14	29.18
23-01-2020	IN	Kolkata	dew	195	14	19	15	22.35
24-01-2020	IN	Kolkata	dew	188	6.5	15	9	71.59
25-01-2020	IN	Kolkata	dew	188	8	11	9	11.83
26-01-2020	IN	Kolkata	dew	202	9	13	11	8.6
27-01-2020	IN	Kolkata	dew	181	11	13	11.5	3.99
28-01-2020	IN	Kolkata	dew	160	11	15	14	18.94
29-01-2020	IN	Kolkata	dew	202	14.5	21	18	45.29
30-01-2020	IN	Kolkata	dew	209	16	19.5	18	9.28
31-01-2020	IN	Kolkata	dew	188	12	17	14.5	23.22
01-02-2020	IN	Kolkata	dew	219	10	12	11.5	3.84
02-02-2020	IN	Kolkata	dew	237	8	13	10	23.37
03-02-2020	IN	Kolkata	dew	201	7	10	8	4.39
04-02-2020	IN	Kolkata	dew	201	8	12	10.5	9.93
05-02-2020	IN	Kolkata	dew	255	12	15	13	11.44
06-02-2020	IN	Kolkata	dew	219	12	15	13	7.98
07-02-2020	IN	Kolkata	dew	235	11	14.5	12.5	14.11
08-02-2020	IN	Kolkata	dew	178	12	14.5	13.5	4.54
09-02-2020	IN	Kolkata	dew	83	12.5	14.5	13	4.42
25-02-2020	IN	Kolkata	dew	73	16.5	18	17.5	3.19
26-02-2020	IN	Kolkata	dew	246	16	20	17.5	11.14
27-02-2020	IN	Kolkata	dew	255	16	20	17	13.78
28-02-2020	IN	Kolkata	dew	228	16	18	16.5	4.11
29-02-2020	IN	Kolkata	dew	246	14	16.5	15.5	4.6
01-03-2020	IN	Kolkata	dew	210	16	19	17	8.18
02-03-2020	IN	Kolkata	dew	192	18	21	20	12.61
03-03-2020	IN	Kolkata	dew	21	18	19	18	2.62
04-03-2020	IN	Kolkata	dew	71	17	21	19.5	23.68
05-03-2020	IN	Kolkata	dew	210	16.5	20	19	12.52
06-03-2020	IN	Kolkata	dew	201	19	23	21	11.82
07-03-2020	IN	Kolkata	dew	264	19	23	21	13.38
08-03-2020	IN	Kolkata	dew	255	18.5	22	21	7.23
09-03-2020	IN	Kolkata	dew	246	15	17.5	16	4.66
10-03-2020	IN	Kolkata	dew	201	15	17	16	3.92
11-03-2020	IN	Kolkata	dew	246	17	23	20.5	43.07
12-03-2020	IN	Kolkata	dew	183	18.5	24	20	53.96
13-03-2020	IN	Kolkata	dew	264	20.5	25	22.5	14.2
14-03-2020	IN	Kolkata	dew	237	16	21.5	20	36.18
15-03-2020	IN	Kolkata	dew	255	16	21	19	26.69
16-03-2020	IN	Kolkata	dew	174	18.5	22	20.5	15.17
17-03-2020	IN	Kolkata	dew	201	17	22	20	13.99
18-03-2020	IN	Kolkata	dew	228	18	22	19	12.31
19-03-2020	IN	Kolkata	dew	255	14	21	17.5	36.43
20-03-2020	IN	Kolkata	dew	192	10.5	18.5	17	58.86
21-03-2020	IN	Kolkata	dew	264	16	23	20	40.34
22-03-2020	IN	Kolkata	dew	255	15	21	18	34.43
23-03-2020	IN	Kolkata	dew	264	18	23	20	22.37
24-03-2020	IN	Kolkata	dew	246	19	23.5	20	22.54
25-03-2020	IN	Kolkata	dew	264	19	25	22	38.2
26-03-2020	IN	Kolkata	dew	264	16	26	21	80.3
27-03-2020	IN	Kolkata	dew	264	16	23	19	45.36
28-03-2020	IN	Kolkata	dew	264	19	25	21	34.56
29-03-2020	IN	Kolkata	dew	208	18	24	19	33.07
30-03-2020	IN	Kolkata	dew	243	13	23	17.5	78.91
31-03-2020	IN	Kolkata	dew	208	12.5	20	16.5	47.22
01-04-2020	IN	Kolkata	dew	251	19	26	22	44.52
02-04-2020	IN	Kolkata	dew	246	20	27	25	66.88
03-04-2020	IN	Kolkata	dew	228	22	27	25	17.8
04-04-2020	IN	Kolkata	dew	246	16	26.5	21	72.38
05-04-2020	IN	Kolkata	dew	255	16	27	22.5	152.66
06-04-2020	IN	Kolkata	dew	255	9	25.5	17.5	395.03
07-04-2020	IN	Kolkata	dew	264	14	25	21.5	83.61
08-04-2020	IN	Kolkata	dew	255	14.5	24	20	65.96
09-04-2020	IN	Kolkata	dew	264	14	22	18	50.26
10-04-2020	IN	Kolkata	dew	264	21	26	24	28.79
11-04-2020	IN	Kolkata	dew	192	19	27.5	24	67
12-04-2020	IN	Kolkata	dew	264	18	28	25.5	120.31
13-04-2020	IN	Kolkata	dew	237	25	28	26.5	7.78
14-04-2020	IN	Kolkata	dew	219	25.5	28	27	6.56
15-04-2020	IN	Kolkata	dew	255	20	29	25.5	62.11
16-04-2020	IN	Kolkata	dew	207	21	27	24	45.39
17-04-2020	IN	Kolkata	dew	237	22	28.5	26.5	30.25
18-04-2020	IN	Kolkata	dew	237	21	28.5	27	48.19
19-04-2020	IN	Kolkata	dew	253	21	27	24	35.08
20-04-2020	IN	Kolkata	dew	157	19	28	27	93.87
21-04-2020	IN	Kolkata	dew	183	18	21	20	10.5
22-04-2020	IN	Kolkata	dew	246	20	25	24	41.3
23-04-2020	IN	Kolkata	dew	255	19.5	28	23.5	61.28
24-04-2020	IN	Kolkata	dew	228	21	27.5	22	60.96
25-04-2020	IN	Kolkata	dew	201	21	26	25	22.28
26-04-2020	IN	Kolkata	dew	246	22	26.5	24	12.07
27-04-2020	IN	Kolkata	dew	219	22	25	24	11.1
28-04-2020	IN	Kolkata	dew	228	22	25.5	23.5	11.46
29-04-2020	IN	Kolkata	dew	228	21	27	24	36.21
30-04-2020	IN	Kolkata	dew	228	23	25.5	24.5	5.47
01-05-2020	IN	Kolkata	dew	255	20	25.5	23	24.99
02-05-2020	IN	Kolkata	dew	235	20	26	24	41.05
03-05-2020	IN	Kolkata	dew	228	21	26	25	25.39
04-05-2020	IN	Kolkata	dew	264	24	28.5	26	17.77
05-05-2020	IN	Kolkata	dew	228	24	28	25.5	20.25
06-05-2020	IN	Kolkata	dew	199	19	27	25	67.82
07-05-2020	IN	Kolkata	dew	211	20	28	26	69.44
08-05-2020	IN	Kolkata	dew	195	20	27	25.5	49.17
09-05-2020	IN	Kolkata	dew	204	24.5	29	26.5	12.79
10-05-2020	IN	Kolkata	dew	240	21	29.5	27	71.99
11-05-2020	IN	Kolkata	dew	169	21	26	24	20.06
12-05-2020	IN	Kolkata	dew	180	24	28	26	11.43
13-05-2020	IN	Kolkata	dew	216	16	27.5	24.5	82.1
14-05-2020	IN	Kolkata	dew	171	26	28	27	5.63
15-05-2020	IN	Kolkata	dew	180	26	29	27	6.61
16-05-2020	IN	Kolkata	dew	145	27	30.5	28	10.87
17-05-2020	IN	Kolkata	dew	83	27	29	27.5	4.68
